Data;Godzina;Goście;Gospodarze;Sezon;Stadion;Sędzia;AG;AvgA;AvgD;AvgH;HG;MaxA;MaxD;MaxH;PA;PD;PH;Czerwone kartki A;Czerwone kartki H;Faule A;Faule H;Interwencje bramkarzy A;Interwencje bramkarzy H;Posiadanie piłki A;Posiadanie piłki H;Rzuty rożne A;Rzuty rożne H;Rzuty wolne A;Rzuty wolne H;Spalone A;Spalone H;Strzały na bramkę A;Strzały na bramkę H;Strzały niecelne A;Strzały niecelne H;Strzały zablokowane A;Strzały zablokowane H;Sytuacje bramkowe A;Sytuacje bramkowe H;Wrzuty z autu A;Wrzuty z autu H;Żółte kartki A;Żółte kartki H;Zawodnik 1 A;Zawodnik 1 H;Zawodnik 2 A;Zawodnik 2 H;Zawodnik 3 A;Zawodnik 3 H;Zawodnik 4 A;Zawodnik 4 H;Zawodnik 5 A;Zawodnik 5 H;Zawodnik 6 A;Zawodnik 6 H;Zawodnik 7 A;Zawodnik 7 H;Zawodnik 8 A;Zawodnik 8 H;Zawodnik 9 A;Zawodnik 9 H;Zawodnik 10 A;Zawodnik 10 H;Zawodnik 11 A;Zawodnik 11 H;Res
19.07.2013;18:00;Pogoń Szczecin;Zagłębie Lubin;2013/2014;;;2;4,47;3,36;1,81;0;5;3,7;1,87;4,87;3,67;1,83;0;0;21;17;1;3;0,43;0,57;4;1;20;26;3;1;5;1;5;9;;;10;10;23;29;0;1;Akahoshi T.;Banas A.;Bak J.;Bilek J.;Chalas T.;Gliwa M.;Dąbrowski M.;Guldan L.;Frączczak A.;Jez R.;Golla W.;Kwiek A.;Janukiewicz R.;Oleksy P.;Lawa B.;Papadopulos M.;Lewandowski M.;Piątek L.;Murayama T.;Przybecki M.;Rogalski M.;Rymaniak B.;A
19.07.2013;20:30;Górnik Zabrze;Wisła Kraków;2013/2014;;;0;3,15;3,07;2,32;0;3,51;3,2;2,45;3,51;3,16;2,36;0;0;12;9;2;2;;;7;6;;;3;0;2;2;4;8;2;3;8;13;;;0;1;Danch A.;Bunoza G.;Gancarczyk S.;Chrapek M.;Kosznik R.;Gargula L.;Malkowski M.;Glowacki A.;Mączyński K.;Jovanovic M.;Nakoulma P.;Malecki P.;Olkowski P.;Miskiewicz M.;Przybylski M.;Nalepa M.;Sobolewski R.;Sarki E.;Witkowski N.;Stjepanovic O.;Zachara M.;Stolarski P.;D
20.07.2013;15:30;Jagiellonia Białystok;Zawisza Bydgoszcz;2013/2014;;;1;3,32;3,15;2,18;0;3,73;3,3;2,5;3,73;3,3;2,19;0;1;;;3;3;;;4;0;24;13;;;4;3;6;6;6;2;16;11;19;23;2;4;Slowik J.;Kaczmarek W.;Norambuena A.;Lewczuk I.;Pazdan M.;Skrzynski L.;Straus J.;Strak P.;Tosik J.;Ziajka S.;Baran M.;Goulon H.;Quintana D.;Hermes;Plizga D.;Maslowski M.;Grzyb R.;Dudek S.;Kupisz T.;Wójcicki J.;Piatkowski M.;Geworgian W.;A
20.07.2013;18:00;Widzew Łódź;Legia Warszawa;2013/2014;;;1;9,83;4,68;1,31;5;11,42;5,6;1,37;11,35;5,22;1,33;0;0;11;18;2;4;0,41;0,59;5;8;24;10;1;6;5;7;3;8;;;8;15;28;28;3;1;Mielcarz M.;Kuciak D.;Bartkowski J.;Rzeźniczak J.;Phibel T.;Cichocki M.;Abbes H.;Jodłowiec T.;Tomczyk K.;Brzyski T.;Okachi P.;Furman D.;Kwiek D.;Pinto H.;Kasprzak B.;Kucharczyk M.;Alex B.;Radovic M.;Rybicki M.;Żyro M.;Pawłowski B.;Mikita P.;H
21.07.2013;15:30;Śląsk Wrocław;Korona Kielce;2013/2014;;;0;2,87;3,11;2,46;0;3,21;3,31;2,6;3,21;3,31;2,43;0;0;9;15;4;3;0,57;0,43;2;4;16;9;0;1;3;4;5;3;6;4;14;11;29;31;2;1;Gikiewicz R.;Malkowski Z.;Socha T.;Golanski P.;Kokoszka A.;Malarczyk P.;Pawelec M.;Stano P.;Spahic A.;Lisowski T.;Mila S.;Kiełb J.;Holota T.;Jovanovic V.;Kazmierczak P.;Lenartowski A.;Sobota W.;Janota M.;Plaku S.;Sobolewski P.;Paixao M.;Golebiewski D.;D
21.07.2013;18:00;Piast Gliwice;Cracovia;2013/2014;;;3;2,74;3,11;2,56;2;3;3,25;2,74;2,85;3,21;2,74;0;0;;;6;3;0,41;0,59;5;8;15;16;;;6;8;7;7;;;13;15;19;28;0;4;Carles M.;Bernhardt E.;Cicman P.;Boljevic V.;Docekal T.;Danielewicz K.;Horvath C.;Dąbrowski D.;Jurado R.;Kosanovic M.;Krol K.;Kus M.;Lazdins A.;Marciniak A.;Podgorski T.;Pilarz K.;Polak J.;Steblecki S.;Szumski J.;Straus R.;Zbozień D.;Zytko M.;A
21.07.2013;20:30;Lech Poznań;Ruch Chorzów;2013/2014;;;1;1,92;3,25;4,02;1;2,04;3,7;4,67;1,9;3,5;4,67;1;0;;;2;1;0,56;0,44;8;7;10;10;;;2;2;4;5;;;6;7;31;27;2;1;Kotorowski K.;Kamiński K.;Mozdzen M.;Gieraga A.;Kaminski M.;Szyndrowski M.;Arboleda M.;Stawarczyk P.;Wołąkiewicz H.;Dziwniel D.;Trałka Ł.;Zienczuk M.;Drewniak S.;Malinowski M.;Ubiparip V.;Babiarz B.;Lovrencsics G.;Starzyński F.;Hamalainen K.;Janoszka L.;Teodorczyk L.;Sultes P.;D
22.07.2013;18:00;Podbeskidzie B-B;Lechia Gdańsk;2013/2014;;;2;3,75;3,33;1,96;2;4,4;3,6;2,04;4,28;3,5;1,97;0;0;9;17;5;2;0,41;0,59;1;3;25;10;1;6;4;7;3;7;0;2;7;16;31;28;1;1;Gorkiewicz T.;Bak M.;Jagiello A.;Bieniuk J.;Kolodziej D.;Dawidowicz P.;Konieczny B.;Deleu;Latka D.;Duda A.;Pawela F.;Machaj M.;Pietrasiak D.;Madera S.;Rybansky L.;Matsui D.;Sloboda A.;Oualembo C.;Telichowski B.;Pietrowski M.;Wodecki M.;Wiśniewski P.;D
26.07.2013;18:00;Lechia Gdańsk;Ruch Chorzów;2013/2014;;;1;3,09;3,17;2,29;1;3,3;3,39;2,45;3,28;3,39;2,35;0;0;12;14;2;2;0,54;0,46;9;2;15;17;;;3;3;3;3;2;3;8;9;19;23;3;2;Bak M.;Kamiński K.;Deleu;Gieraga A.;Bieniuk J.;Dziwniel D.;Madera S.;Stawarczyk P.;Oualembo C.;Szyndrowski M.;Dawidowicz P.;Babiarz B.;Pietrowski M.;Malinowski M.;Frankowski P.;Janoszka L.;Matsui D.;Starzyński F.;Wiśniewski P.;Zienczuk M.;Kugiel D.;Sultes P.;D
26.07.2013;20:30;Zawisza Bydgoszcz;Widzew Łódź;2013/2014;;;1;2,8;3,15;2,49;2;3,05;3,29;2,65;2,94;3,29;2,61;0;0;7;8;0;3;0,57;0,43;8;7;13;14;;;4;2;9;7;4;3;17;12;20;30;1;3;Kaczmarek W.;Mielcarz M.;Ziajka S.;Plotka M.;Strak P.;Augustyniak R.;Skrzynski L.;Mrozinski P.;Lewczuk I.;Hayrapetyan L.;Hermes;Okachi P.;Goulon H.;Kasprzak B.;Maslowski M.;Kaczmarek M.;Dudek S.;Staron L.;Wójcicki J.;Pawłowski B.;Abbott P.;Visnakovs E.;H
